team1,team2,winner,winner_team_score,winner_team_wicket,opponent_team_score,opponent_team_wicket,winner_played_at,match_date,time_of_day,series,toss,toss_decision,ground_country
South Africa,Australia,South Africa,170,8,125,8,away,"Dec 9, 1997",Day and night,Carlton & United Series,South Africa,bat first,Australia
South Africa,New Zealand,South Africa,174,9,173,9,away,"Dec 11, 1997",Day,Carlton & United Series,South Africa,bat first,Australia
England,India,England,250,10,243,10,away,"Dec 11, 1997",Day and night,Akai-Singer Champions Trophy,India,field first,United Arab Emirates
West Indies,Pakistan,West Indies,275,7,232,7,away,"Dec 12, 1997",Day and night,Akai-Singer Champions Trophy,West Indies,bat first,United Arab Emirates
West Indies,England,England,198,6,197,6,away,"Dec 13, 1997",Day and night,Akai-Singer Champions Trophy,West Indies,bat first,United Arab Emirates
India,Pakistan,Pakistan,243,6,239,6,away,"Dec 14, 1997",Day and night,Akai-Singer Champions Trophy,India,bat first,United Arab Emirates
England,Pakistan,England,215,9,207,9,away,"Dec 15, 1997",Day and night,Akai-Singer Champions Trophy,England,bat first,United Arab Emirates
West Indies,India,West Indies,229,6,188,6,away,"Dec 16, 1997",Day and night,Akai-Singer Champions Trophy,India,field first,United Arab Emirates
New Zealand,Australia,Australia,142,4,141,4,home,"Dec 17, 1997",Day and night,Carlton & United Series,New Zealand,bat first,Australia
West Indies,England,England,239,7,235,7,away,"Dec 19, 1997",Day and night,Akai-Singer Champions Trophy,West Indies,bat first,United Arab Emirates
Sri Lanka,India,India,173,3,172,3,home,"Dec 22, 1997",Day,Sri Lanka tour of India,India,field first,India
India,Sri Lanka,Sri Lanka,229,5,228,5,away,"Dec 28, 1997",Day,Sri Lanka tour of India,India,bat first,India
South Africa,New Zealand,South Africa,300,6,298,6,away,"Jan 9, 1998",Day and night,Carlton & United Series,South Africa,bat first,Australia
Bangladesh,India,India,191,6,190,6,away,"Jan 10, 1998",Day,Silver Jubilee Independence Cup,India,field first,Bangladesh
India,Pakistan,India,245,7,227,7,away,"Jan 11, 1998",Day,Silver Jubilee Independence Cup,Pakistan,field first,Bangladesh
Australia,South Africa,South Africa,236,5,235,5,away,"Jan 11, 1998",Day and night,Carlton & United Series,Australia,bat first,Australia
Bangladesh,Pakistan,Pakistan,136,1,134,1,away,"Jan 12, 1998",Day,Silver Jubilee Independence Cup,Pakistan,field first,Bangladesh
Pakistan,India,India,213,2,212,2,away,"Jan 14, 1998",Day,Silver Jubilee Independence Cup,Pakistan,bat first,Bangladesh
Australia,New Zealand,Australia,250,10,119,10,home,"Jan 14, 1998",Day and night,Carlton & United Series,Australia,bat first,Australia
India,Pakistan,Pakistan,193,4,189,4,away,"Jan 16, 1998",Day,Silver Jubilee Independence Cup,India,bat first,Bangladesh
South Africa,New Zealand,South Africa,233,7,166,7,away,"Jan 16, 1998",Day and night,Carlton & United Series,South Africa,bat first,Australia
Pakistan,India,India,316,7,314,7,away,"Jan 18, 1998",Day,Silver Jubilee Independence Cup,India,field first,Bangladesh
Australia,South Africa,South Africa,170,3,165,3,away,"Jan 18, 1998",Day and night,Carlton & United Series,Australia,bat first,Australia
Australia,New Zealand,New Zealand,253,6,251,6,away,"Jan 21, 1998",Day and night,Carlton & United Series,Australia,bat first,Australia
Zimbabwe,Sri Lanka,Sri Lanka,210,5,207,5,home,"Jan 22, 1998",Day,Zimbabwe tour of Sri Lanka,Sri Lanka,field first,Sri Lanka
South Africa,Australia,South Africa,241,9,235,9,away,"Jan 23, 1998",Day and night,Carlton & United Series,South Africa,bat first,Australia
Zimbabwe,Sri Lanka,Sri Lanka,213,5,212,5,home,"Jan 24, 1998",Day,Zimbabwe tour of Sri Lanka,Zimbabwe,bat first,Sri Lanka
South Africa,Australia,Australia,229,3,228,3,home,"Jan 26, 1998",Day and night,Carlton & United Series,South Africa,bat first,Australia
Zimbabwe,Sri Lanka,Sri Lanka,286,6,281,6,home,"Jan 26, 1998",Day,Zimbabwe tour of Sri Lanka,Zimbabwe,bat first,Sri Lanka
Australia,South Africa,Australia,247,7,233,7,home,"Jan 27, 1998",Day and night,Carlton & United Series,Australia,bat first,Australia
New Zealand,Zimbabwe,New Zealand,248,7,208,7,home,"Feb 4, 1998",Day,Zimbabwe tour of New Zealand,New Zealand,bat first,New Zealand
Zimbabwe,New Zealand,New Zealand,139,2,138,2,home,"Feb 6, 1998",Day,Zimbabwe tour of New Zealand,New Zealand,field first,New Zealand
New Zealand,Australia,Australia,215,3,212,3,away,"Feb 8, 1998",Day and night,Australia tour of New Zealand,New Zealand,bat first,New Zealand
Australia,New Zealand,Australia,297,6,231,6,away,"Feb 10, 1998",Day,Australia tour of New Zealand,Australia,bat first,New Zealand
Australia,New Zealand,New Zealand,240,3,236,3,home,"Feb 12, 1998",Day and night,Australia tour of New Zealand,Australia,bat first,New Zealand
New Zealand,Australia,New Zealand,223,7,193,7,home,"Feb 14, 1998",Day,Australia tour of New Zealand,Australia,field first,New Zealand
Zimbabwe,New Zealand,Zimbabwe,228,7,227,7,away,"Mar 4, 1998",Day and night,Zimbabwe tour of New Zealand,New Zealand,field first,New Zealand
Zimbabwe,New Zealand,New Zealand,211,1,207,1,home,"Mar 6, 1998",Day and night,Zimbabwe tour of New Zealand,Zimbabwe,bat first,New Zealand
New Zealand,Zimbabwe,New Zealand,231,9,229,9,home,"Mar 8, 1998",Day,Zimbabwe tour of New Zealand,New Zealand,bat first,New Zealand
Zimbabwe,Pakistan,Pakistan,237,6,236,6,away,"Mar 28, 1998",Day,Pakistan tour of Zimbabwe,Pakistan,field first,Zimbabwe
Zimbabwe,Pakistan,Pakistan,276,6,272,6,away,"Mar 29, 1998",Day,Pakistan tour of Zimbabwe,Pakistan,field first,Zimbabwe
England,West Indies,England,293,5,277,5,away,"Mar 29, 1998",Day,England tour of West Indies,West Indies,field first,West Indies
India,Australia,India,309,5,268,5,home,"Apr 1, 1998",Day,Pepsi Triangular Series,India,bat first,India
England,West Indies,West Indies,267,9,266,9,home,"Apr 1, 1998",Day,England tour of West Indies,West Indies,field first,West Indies
Australia,Zimbabwe,Australia,252,7,239,7,away,"Apr 3, 1998",Day,Pepsi Triangular Series,Australia,bat first,India
South Africa,Pakistan,South Africa,280,4,228,4,home,"Apr 3, 1998",Day and night,Standard Bank International One-Day Series,South Africa,bat first,South Africa
England,West Indies,West Indies,213,5,209,5,home,"Apr 4, 1998",Day,England tour of West Indies,England,bat first,West Indies
India,Zimbabwe,India,274,5,261,5,home,"Apr 5, 1998",Day,Pepsi Triangular Series,Zimbabwe,field first,India
South Africa,Sri Lanka,South Africa,266,8,209,8,home,"Apr 5, 1998",Day,Standard Bank International One-Day Series,South Africa,bat first,South Africa
England,West Indies,West Indies,150,6,149,6,home,"Apr 5, 1998",Day,England tour of West Indies,England,bat first,West Indies
Australia,India,India,223,4,222,4,home,"Apr 7, 1998",Day,Pepsi Triangular Series,Australia,bat first,India
Sri Lanka,Pakistan,Pakistan,300,6,295,6,away,"Apr 7, 1998",Day,Standard Bank International One-Day Series,Sri Lanka,bat first,South Africa
West Indies,England,West Indies,302,5,245,5,home,"Apr 8, 1998",Day,England tour of West Indies,West Indies,bat first,West Indies
India,Zimbabwe,India,301,3,269,3,home,"Apr 9, 1998",Day,Pepsi Triangular Series,Zimbabwe,field first,India
Pakistan,Sri Lanka,Pakistan,249,10,139,10,away,"Apr 9, 1998",Day and night,Standard Bank International One-Day Series,Pakistan,bat first,South Africa
Australia,Zimbabwe,Australia,294,3,278,3,away,"Apr 11, 1998",Day,Pepsi Triangular Series,Zimbabwe,field first,India
Pakistan,South Africa,South Africa,254,7,250,7,home,"Apr 11, 1998",Day,Standard Bank International One-Day Series,South Africa,field first,South Africa
South Africa,Sri Lanka,Sri Lanka,232,4,231,4,away,"Apr 13, 1998",Day,Standard Bank International One-Day Series,South Africa,bat first,South Africa
India,Australia,Australia,231,6,227,6,away,"Apr 14, 1998",Day,Pepsi Triangular Series,India,bat first,India
Sri Lanka,Pakistan,Sri Lanka,288,10,173,10,away,"Apr 15, 1998",Day,Standard Bank International One-Day Series,Pakistan,field first,South Africa
Pakistan,South Africa,South Africa,149,3,145,3,home,"Apr 17, 1998",Day,Standard Bank International One-Day Series,Pakistan,bat first,South Africa
India,New Zealand,India,220,9,205,9,away,"Apr 17, 1998",Day and night,Coca-Cola Cup,India,bat first,United Arab Emirates
New Zealand,Australia,Australia,160,4,159,4,away,"Apr 18, 1998",Day and night,Coca-Cola Cup,New Zealand,bat first,United Arab Emirates
Sri Lanka,South Africa,South Africa,106,5,105,5,home,"Apr 19, 1998",Day,Standard Bank International One-Day Series,South Africa,field first,South Africa
Australia,India,Australia,264,9,206,9,away,"Apr 19, 1998",Day and night,Coca-Cola Cup,Australia,bat first,United Arab Emirates
India,New Zealand,New Zealand,183,6,181,6,away,"Apr 20, 1998",Day and night,Coca-Cola Cup,India,bat first,United Arab Emirates
New Zealand,Australia,Australia,261,5,259,5,away,"Apr 21, 1998",Day and night,Coca-Cola Cup,New Zealand,bat first,United Arab Emirates
Australia,India,Australia,284,7,250,7,away,"Apr 22, 1998",Day and night,Coca-Cola Cup,Australia,bat first,United Arab Emirates
Pakistan,South Africa,South Africa,115,1,114,1,home,"Apr 23, 1998",Day,Standard Bank International One-Day Series,South Africa,field first,South Africa
Australia,India,India,275,4,272,4,away,"Apr 24, 1998",Day and night,Coca-Cola Cup,India,field first,United Arab Emirates
Bangladesh,India,India,185,5,184,5,home,"May 14, 1998",Day and night,Coca-Cola Triangular Series,India,field first,India
Kenya,Bangladesh,Bangladesh,237,4,236,4,away,"May 17, 1998",Day and night,Coca-Cola Triangular Series,Kenya,bat first,India
Kenya,India,India,224,6,223,6,home,"May 20, 1998",Day and night,Coca-Cola Triangular Series,India,field first,India
England,South Africa,South Africa,224,7,223,7,away,"May 21, 1998",Day,South Africa tour of England,South Africa,field first,England
Kenya,Bangladesh,Kenya,226,8,198,8,away,"May 23, 1998",Day and night,Coca-Cola Triangular Series,Kenya,bat first,India
South Africa,England,South Africa,226,9,194,9,away,"May 23, 1998",Day,South Africa tour of England,England,field first,England
South Africa,England,England,206,3,205,3,home,"May 24, 1998",Day,South Africa tour of England,South Africa,bat first,England
Bangladesh,India,India,116,5,115,5,home,"May 25, 1998",Day and night,Coca-Cola Triangular Series,Bangladesh,bat first,India
Kenya,India,Kenya,265,5,196,5,away,"May 28, 1998",Day and night,Coca-Cola Triangular Series,Kenya,bat first,India
Kenya,India,India,197,1,196,1,home,"May 31, 1998",Day and night,Coca-Cola Triangular Series,Kenya,bat first,India
Sri Lanka,India,India,246,2,243,2,away,"Jun 19, 1998",Day and night,Singer-Akai Nidahas Trophy,Sri Lanka,bat first,Sri Lanka
New Zealand,Sri Lanka,Sri Lanka,201,3,200,3,home,"Jun 21, 1998",Day and night,Singer-Akai Nidahas Trophy,New Zealand,bat first,Sri Lanka
Sri Lanka,India,Sri Lanka,171,8,163,8,home,"Jul 1, 1998",Day,Singer-Akai Nidahas Trophy,India,field first,Sri Lanka
Sri Lanka,New Zealand,Sri Lanka,293,4,206,4,home,"Jul 5, 1998",Day,Singer-Akai Nidahas Trophy,New Zealand,field first,Sri Lanka
India,Sri Lanka,India,307,6,301,6,away,"Jul 7, 1998",Day and night,Singer-Akai Nidahas Trophy,India,bat first,Sri Lanka
Sri Lanka,South Africa,Sri Lanka,258,10,201,10,away,"Aug 14, 1998",Day,Emirates Triangular Tournament,South Africa,field first,England
England,Sri Lanka,England,247,10,211,10,home,"Aug 16, 1998",Day,Emirates Triangular Tournament,Sri Lanka,field first,England
South Africa,England,South Africa,244,7,230,7,away,"Aug 18, 1998",Day,Emirates Triangular Tournament,South Africa,bat first,England
England,Sri Lanka,Sri Lanka,260,5,256,5,away,"Aug 20, 1998",Day,Emirates Triangular Tournament,England,bat first,England
Pakistan,India,India,193,4,189,4,away,"Sep 12, 1998",Day,Pakistan tour of Canada,India,field first,Canada
Pakistan,India,Pakistan,246,9,195,9,away,"Sep 13, 1998",Day,Pakistan tour of Canada,India,field first,Canada
Pakistan,India,Pakistan,257,5,180,5,away,"Sep 16, 1998",Day,Pakistan tour of Canada,India,field first,Canada
Pakistan,India,Pakistan,316,6,182,6,away,"Sep 19, 1998",Day,Pakistan tour of Canada,India,field first,Canada
India,Pakistan,Pakistan,258,5,256,5,away,"Sep 20, 1998",Day,Pakistan tour of Canada,India,bat first,Canada
Zimbabwe,India,India,216,2,213,2,away,"Sep 26, 1998",Day,India tour of Zimbabwe,India,field first,Zimbabwe
Zimbabwe,India,India,236,2,235,2,away,"Sep 27, 1998",Day,India tour of Zimbabwe,India,field first,Zimbabwe
Zimbabwe,India,Zimbabwe,259,5,222,5,home,"Sep 30, 1998",Day,India tour of Zimbabwe,India,field first,Zimbabwe
Zimbabwe,New Zealand,New Zealand,260,5,258,5,away,"Oct 24, 1998",Day and night,Wills International Cup,Zimbabwe,bat first,Bangladesh
England,South Africa,South Africa,283,4,281,4,away,"Oct 25, 1998",Day and night,Wills International Cup,England,bat first,Bangladesh
New Zealand,Sri Lanka,Sri Lanka,191,5,188,5,away,"Oct 26, 1998",Day and night,Wills International Cup,Sri Lanka,field first,Bangladesh
India,Australia,India,307,8,263,8,away,"Oct 28, 1998",Day and night,Wills International Cup,Australia,field first,Bangladesh
West Indies,Pakistan,West Indies,289,9,259,9,away,"Oct 29, 1998",Day and night,Wills International Cup,West Indies,bat first,Bangladesh
South Africa,Sri Lanka,South Africa,240,7,132,7,away,"Oct 30, 1998",Day and night,Wills International Cup,Sri Lanka,field first,Bangladesh
India,West Indies,West Indies,245,4,242,4,away,"Oct 31, 1998",Day and night,Wills International Cup,India,bat first,Bangladesh
West Indies,South Africa,South Africa,248,6,245,6,away,"Nov 1, 1998",Day and night,Wills International Cup,South Africa,field first,Bangladesh
Australia,Pakistan,Australia,324,8,238,8,away,"Nov 6, 1998",Day,Australia tour of Pakistan,Pakistan,field first,Pakistan
Sri Lanka,India,India,248,7,245,7,away,"Nov 6, 1998",Day and night,Coca-Cola Champions Trophy,India,field first,United Arab Emirates
Sri Lanka,Zimbabwe,Zimbabwe,197,3,196,3,away,"Nov 7, 1998",Day and night,Coca-Cola Champions Trophy,Zimbabwe,field first,United Arab Emirates
Pakistan,Australia,Australia,220,5,217,5,away,"Nov 8, 1998",Day,Australia tour of Pakistan,Pakistan,bat first,Pakistan
Zimbabwe,India,India,197,3,196,3,away,"Nov 8, 1998",Day and night,Coca-Cola Champions Trophy,India,field first,United Arab Emirates
India,Sri Lanka,India,179,10,98,10,away,"Nov 9, 1998",Day and night,Coca-Cola Champions Trophy,Sri Lanka,field first,United Arab Emirates
Pakistan,Australia,Australia,316,4,315,4,away,"Nov 10, 1998",Day,Australia tour of Pakistan,Pakistan,bat first,Pakistan
Zimbabwe,Sri Lanka,Zimbabwe,259,7,235,7,away,"Nov 10, 1998",Day and night,Coca-Cola Champions Trophy,Sri Lanka,field first,United Arab Emirates
Zimbabwe,India,Zimbabwe,205,7,192,7,away,"Nov 11, 1998",Day and night,Coca-Cola Champions Trophy,India,field first,United Arab Emirates
Zimbabwe,India,India,197,0,196,0,away,"Nov 13, 1998",Day and night,Coca-Cola Champions Trophy,India,field first,United Arab Emirates
Zimbabwe,Pakistan,Pakistan,241,6,237,6,home,"Nov 20, 1998",Day,Zimbabwe tour of Pakistan,Pakistan,field first,Pakistan
Pakistan,Zimbabwe,Zimbabwe,212,4,211,4,away,"Nov 22, 1998",Day,Zimbabwe tour of Pakistan,Zimbabwe,field first,Pakistan
Pakistan,Zimbabwe,Pakistan,302,6,191,6,home,"Nov 24, 1998",Day,Zimbabwe tour of Pakistan,Zimbabwe,field first,Pakistan
India,New Zealand,New Zealand,200,5,257,5,home,"Jan 9, 1999",Day and night,India tour of New Zealand,India,bat first,New Zealand
England,Australia,England,178,8,145,8,away,"Jan 10, 1999",Day and night,Carlton & United Series,England,bat first,Australia
Sri Lanka,England,England,208,6,207,6,away,"Jan 11, 1999",Day and night,Carlton & United Series,Sri Lanka,bat first,Australia
New Zealand,India,India,214,8,213,8,away,"Jan 12, 1999",Day and night,India tour of New Zealand,India,field first,New Zealand
Sri Lanka,Australia,Australia,260,2,259,2,home,"Jan 13, 1999",Day and night,Carlton & United Series,Sri Lanka,bat first,Australia
England,Australia,Australia,182,1,178,1,home,"Jan 15, 1999",Day and night,Carlton & United Series,England,bat first,Australia
New Zealand,India,India,208,5,207,5,away,"Jan 16, 1999",Day,India tour of New Zealand,India,field first,New Zealand
England,Australia,England,282,4,275,4,away,"Jan 17, 1999",Day and night,Carlton & United Series,England,bat first,Australia
New Zealand,India,New Zealand,300,8,230,8,home,"Jan 19, 1999",Day and night,India tour of New Zealand,India,field first,New Zealand
Sri Lanka,England,England,189,3,186,3,away,"Jan 19, 1999",Day and night,Carlton & United Series,Sri Lanka,bat first,Australia
Australia,Sri Lanka,Sri Lanka,211,7,210,7,away,"Jan 21, 1999",Day,Carlton & United Series,Sri Lanka,field first,Australia
West Indies,South Africa,South Africa,160,8,154,8,home,"Jan 22, 1999",Day and night,West Indies tour of South Africa,South Africa,field first,South Africa
England,Sri Lanka,Sri Lanka,303,9,302,9,away,"Jan 23, 1999",Day and night,Carlton & United Series,Sri Lanka,field first,Australia
Australia,Sri Lanka,Australia,270,10,190,10,home,"Jan 24, 1999",Day and night,Carlton & United Series,Sri Lanka,field first,Australia
West Indies,South Africa,West Indies,292,9,249,9,away,"Jan 24, 1999",Day,West Indies tour of South Africa,South Africa,field first,South Africa
Australia,England,Australia,239,8,223,8,home,"Jan 26, 1999",Day and night,Carlton & United Series,Australia,bat first,Australia
South Africa,West Indies,South Africa,274,9,219,9,home,"Jan 27, 1999",Day and night,West Indies tour of South Africa,South Africa,bat first,South Africa
England,Sri Lanka,England,227,7,99,7,away,"Jan 29, 1999",Day and night,Carlton & United Series,Sri Lanka,field first,Australia
South Africa,West Indies,South Africa,278,6,179,6,home,"Jan 30, 1999",Day,West Indies tour of South Africa,West Indies,field first,South Africa
Australia,Sri Lanka,Australia,274,7,229,7,home,"Jan 31, 1999",Day,Carlton & United Series,Sri Lanka,field first,Australia
South Africa,West Indies,South Africa,221,8,132,8,home,"Feb 2, 1999",Day and night,West Indies tour of South Africa,South Africa,bat first,South Africa
Sri Lanka,England,Sri Lanka,181,7,170,7,away,"Feb 3, 1999",Day and night,Carlton & United Series,England,field first,Australia
England,Australia,Australia,211,6,210,6,home,"Feb 5, 1999",Day and night,Carlton & United Series,England,bat first,Australia
South Africa,West Indies,South Africa,273,10,159,10,home,"Feb 5, 1999",Day,West Indies tour of South Africa,South Africa,bat first,South Africa
Australia,Sri Lanka,Australia,310,8,267,8,home,"Feb 7, 1999",Day,Carlton & United Series,Australia,bat first,Australia
South Africa,West Indies,South Africa,226,8,176,8,home,"Feb 7, 1999",Day,West Indies tour of South Africa,South Africa,bat first,South Africa
Australia,England,Australia,232,8,222,8,home,"Feb 10, 1999",Day and night,Carlton & United Series,Australia,bat first,Australia
Australia,England,Australia,272,5,110,5,home,"Feb 13, 1999",Day and night,Carlton & United Series,Australia,bat first,Australia
South Africa,New Zealand,New Zealand,215,7,211,7,home,"Feb 14, 1999",Day and night,South Africa tour of New Zealand,New Zealand,field first,New Zealand
New Zealand,South Africa,South Africa,224,3,220,3,away,"Feb 17, 1999",Day and night,South Africa tour of New Zealand,New Zealand,bat first,New Zealand
South Africa,New Zealand,New Zealand,215,3,212,3,home,"Feb 20, 1999",Day,South Africa tour of New Zealand,New Zealand,field first,New Zealand
Pakistan,Bangladesh,Pakistan,293,7,141,7,away,"Mar 16, 1999",Day and night,Pakistan tour of Bangladesh,Bangladesh,field first,Bangladesh
Pakistan,Sri Lanka,Pakistan,246,9,237,9,away,"Mar 19, 1999",Day,Pepsi Cup,Pakistan,bat first,India
Zimbabwe,Kenya,Zimbabwe,272,6,139,6,away,"Mar 19, 1999",Day and night,Meril International Cricket Tournament,Zimbabwe,bat first,Bangladesh
Bangladesh,Kenya,Kenya,215,2,213,2,away,"Mar 20, 1999",Day and night,Meril International Cricket Tournament,Bangladesh,bat first,Bangladesh
Zimbabwe,Bangladesh,Zimbabwe,310,6,184,6,away,"Mar 21, 1999",Day and night,Meril International Cricket Tournament,Zimbabwe,bat first,Bangladesh
India,Sri Lanka,India,287,4,207,4,home,"Mar 22, 1999",Day,Pepsi Cup,Sri Lanka,field first,India
Zimbabwe,Kenya,Zimbabwe,280,6,216,6,away,"Mar 23, 1999",Day and night,Meril International Cricket Tournament,Zimbabwe,bat first,Bangladesh
Pakistan,India,Pakistan,278,9,135,9,away,"Mar 24, 1999",Day,Pepsi Cup,Pakistan,bat first,India
Kenya,Bangladesh,Kenya,231,10,158,10,away,"Mar 24, 1999",Day and night,Meril International Cricket Tournament,Kenya,bat first,Bangladesh
Bangladesh,Zimbabwe,Zimbabwe,261,7,257,7,away,"Mar 25, 1999",Day and night,Meril International Cricket Tournament,Bangladesh,bat first,Bangladesh
New Zealand,South Africa,South Africa,194,8,191,8,away,"Mar 26, 1999",Day,South Africa tour of New Zealand,South Africa,field first,New Zealand
South Africa,New Zealand,South Africa,290,5,147,5,away,"Mar 27, 1999",Day and night,South Africa tour of New Zealand,South Africa,bat first,New Zealand
Sri Lanka,Pakistan,Sri Lanka,253,8,241,8,away,"Mar 27, 1999",Day,Pepsi Cup,Sri Lanka,bat first,India
Zimbabwe,Kenya,Zimbabwe,325,6,123,6,away,"Mar 27, 1999",Day and night,Meril International Cricket Tournament,Zimbabwe,bat first,Bangladesh
India,Sri Lanka,India,286,6,235,6,home,"Mar 30, 1999",Day,Pepsi Cup,Sri Lanka,field first,India
India,Pakistan,Pakistan,197,3,196,3,away,"Apr 1, 1999",Day and night,Pepsi Cup,India,bat first,India
Pakistan,India,Pakistan,291,8,168,8,away,"Apr 4, 1999",Day and night,Pepsi Cup,Pakistan,bat first,India
Pakistan,England,Pakistan,323,5,233,5,away,"Apr 7, 1999",Day and night,Coca-Cola Cup,Pakistan,bat first,United Arab Emirates
Pakistan,India,Pakistan,279,8,163,8,away,"Apr 8, 1999",Day and night,Coca-Cola Cup,Pakistan,bat first,United Arab Emirates
India,England,India,222,5,202,5,away,"Apr 9, 1999",Day and night,Coca-Cola Cup,India,bat first,United Arab Emirates
India,England,India,239,6,230,6,away,"Apr 11, 1999",Day and night,Coca-Cola Cup,India,bat first,United Arab Emirates
West Indies,Australia,West Indies,209,10,165,10,home,"Apr 11, 1999",Day,Australia tour of West Indies,Australia,field first,West Indies
England,Pakistan,England,206,10,144,10,away,"Apr 12, 1999",Day and night,Coca-Cola Cup,England,bat first,United Arab Emirates
Pakistan,India,India,206,4,205,4,away,"Apr 13, 1999",Day and night,Coca-Cola Cup,Pakistan,bat first,United Arab Emirates
Australia,West Indies,Australia,288,4,242,4,away,"Apr 14, 1999",Day,Australia tour of West Indies,Australia,bat first,Grenada
India,Pakistan,Pakistan,129,2,125,2,away,"Apr 16, 1999",Day and night,Coca-Cola Cup,India,bat first,United Arab Emirates
Australia,West Indies,West Indies,244,5,242,5,home,"Apr 17, 1999",Day,Australia tour of West Indies,Australia,bat first,West Indies
Australia,West Indies,Australia,189,9,169,9,away,"Apr 18, 1999",Day,Australia tour of West Indies,Australia,bat first,West Indies
West Indies,Australia,Australia,253,6,249,6,away,"Apr 24, 1999",Day,Australia tour of West Indies,West Indies,bat first,West Indies
Australia,West Indies,West Indies,197,2,252,2,home,"Apr 25, 1999",Day,Australia tour of West Indies,Australia,bat first,West Indies
Sri Lanka,England,England,207,2,204,2,home,"May 14, 1999",Day,ICC World Cup,England,field first,England
India,South Africa,South Africa,254,6,253,6,away,"May 15, 1999",Day,ICC World Cup,India,bat first,England
Kenya,Zimbabwe,Zimbabwe,231,5,229,5,away,"May 15, 1999",Day,ICC World Cup,Zimbabwe,field first,England
Scotland,Australia,Australia,182,4,181,4,away,"May 16, 1999",Day,ICC World Cup,Australia,field first,England
Pakistan,West Indies,Pakistan,229,8,202,8,away,"May 16, 1999",Day,ICC World Cup,Pakistan,bat first,England
Bangladesh,New Zealand,New Zealand,117,4,116,4,away,"May 17, 1999",Day,ICC World Cup,New Zealand,field first,England
Kenya,England,England,204,1,203,1,home,"May 18, 1999",Day,ICC World Cup,England,field first,England
Zimbabwe,India,Zimbabwe,252,9,249,9,away,"May 19, 1999",Day,ICC World Cup,India,field first,England
South Africa,Sri Lanka,South Africa,199,9,110,9,away,"May 19, 1999",Day,ICC World Cup,Sri Lanka,field first,England
Australia,New Zealand,New Zealand,214,5,213,5,away,"May 20, 1999",Day,ICC World Cup,Australia,bat first,Wales
Pakistan,Scotland,Pakistan,261,6,167,6,away,"May 20, 1999",Day,ICC World Cup,Scotland,field first,England
Bangladesh,West Indies,West Indies,183,3,182,3,away,"May 21, 1999",Day,ICC World Cup,Bangladesh,bat first,Ireland
South Africa,England,South Africa,225,7,103,7,away,"May 22, 1999",Day,ICC World Cup,England,field first,England
Zimbabwe,Sri Lanka,Sri Lanka,198,6,197,6,away,"May 22, 1999",Day,ICC World Cup,Sri Lanka,field first,England
India,Kenya,India,329,2,235,2,away,"May 23, 1999",Day,ICC World Cup,Kenya,field first,England
Pakistan,Australia,Pakistan,275,8,265,8,away,"May 23, 1999",Day,ICC World Cup,Australia,field first,England
Bangladesh,Scotland,Bangladesh,185,9,163,9,away,"May 24, 1999",Day,ICC World Cup,Scotland,field first,Midlothian
New Zealand,West Indies,West Indies,158,3,156,3,away,"May 24, 1999",Day,ICC World Cup,West Indies,field first,England
Zimbabwe,England,England,168,3,167,3,home,"May 25, 1999",Day,ICC World Cup,England,field first,England
Kenya,South Africa,South Africa,153,3,152,3,away,"May 26, 1999",Day,ICC World Cup,South Africa,field first,Netherlands
India,Sri Lanka,India,373,6,216,6,away,"May 26, 1999",Day,ICC World Cup,Sri Lanka,field first,England
Bangladesh,Australia,Australia,181,3,178,3,away,"May 27, 1999",Day,ICC World Cup,Australia,field first,England
Scotland,West Indies,West Indies,70,2,68,2,away,"May 27, 1999",Day,ICC World Cup,Scotland,bat first,England
Pakistan,New Zealand,Pakistan,269,8,207,8,away,"May 28, 1999",Day,ICC World Cup,New Zealand,field first,England
India,England,India,232,8,169,8,away,"May 29-30, 1999",Day,ICC World Cup,England,field first,England
Zimbabwe,South Africa,Zimbabwe,233,6,185,6,away,"May 29, 1999",Day,ICC World Cup,Zimbabwe,bat first,England
Sri Lanka,Kenya,Sri Lanka,275,8,230,8,away,"May 30, 1999",Day,ICC World Cup,Kenya,field first,England
West Indies,Australia,Australia,111,4,110,4,away,"May 30, 1999",Day,ICC World Cup,Australia,field first,England
Bangladesh,Pakistan,Bangladesh,223,9,161,9,away,"May 31, 1999",Day,ICC World Cup,Pakistan,field first,England
Scotland,New Zealand,New Zealand,123,4,121,4,away,"May 31, 1999",Day,ICC World Cup,New Zealand,field first,Midlothian
Australia,India,Australia,282,6,205,6,away,"Jun 4, 1999",Day,ICC World Cup,India,field first,England
Pakistan,South Africa,South Africa,221,7,220,7,away,"Jun 5, 1999",Day,ICC World Cup,Pakistan,bat first,England
India,Pakistan,India,227,6,180,6,away,"Jun 8, 1999",Day,ICC World Cup,India,bat first,England
Australia,Zimbabwe,Australia,303,4,259,4,away,"Jun 9, 1999",Day,ICC World Cup,Zimbabwe,field first,England
South Africa,New Zealand,South Africa,287,5,213,5,away,"Jun 10, 1999",Day,ICC World Cup,South Africa,bat first,England
Pakistan,Zimbabwe,Pakistan,271,9,123,9,away,"Jun 11, 1999",Day,ICC World Cup,Pakistan,bat first,England
India,New Zealand,New Zealand,253,5,251,5,away,"Jun 12, 1999",Day,ICC World Cup,India,bat first,England
South Africa,Australia,Australia,272,5,271,5,away,"Jun 13, 1999",Day,ICC World Cup,South Africa,bat first,England
